user_name,quality_grade,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
Sebastian,needs_id,Eleocharis,spikerushes,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis
Ashton Tassin,research,Dythemis velox,Swift Setwing,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Dythemis
Sebastian,research,Paspalum urvillei,Vasey Grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum
,needs_id,Coleoptera,Beetles,Animalia,Arthropoda,Insecta,Coleoptera,,
,needs_id,Myrmentoma,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Ashton Tassin,needs_id,Solidago,goldenrods,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago
,research,Parthenocissus quinquefolia,Virginia creeper,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus
Sebastian,needs_id,Setaria,foxtails and bristlegrasses,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria
,needs_id,Sarcophagidae,Flesh Flies and Satellite Flies,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,
Laura Hargrove,research,Hippiscus ocelote,Wrinkled Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Hippiscus
,research,Dieunomia heteropoda,Giant Sweat Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Dieunomia
Sebastian,needs_id,Fraxinus,ashes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus
Ashton Tassin,needs_id,Zelus,,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus
Abigail Miller,research,Neotibicen pruinosus,Scissor Grinder,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen
Sebastian,research,Quercus macrocarpa,bur oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
Christoph Betschart,research,Argiope aurantia,Yellow Garden Spider,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope
Abigail Miller,research,Lonicera japonica,Japanese honeysuckle,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
Sebastian,research,Cercis canadensis,eastern redbud,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cercis
,research,Antheraea polyphemus,Polyphemus Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea
,needs_id,Tridens albescens,White Tridens,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Tridens
,research,Eryngium leavenworthii,Leavenworth's eryngo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium
,research,Automeris io,Io Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris
Mary,research,Anax junius,Common Green Darner,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax
,research,Xerociris wilsonii,Wilson's Wood-nymph Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xerociris
Missy Singleton,needs_id,Desmia,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Desmia
,needs_id,Angiospermae,flowering plants,Plantae,Tracheophyta,,,,
liz s,needs_id,Euodynerus pratensis,,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Euodynerus
,needs_id,Amaranthus,amaranths,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus
,needs_id,Velarifictorus,,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Velarifictorus
Brian Mork,needs_id,Parcoblatta virginica,Virginia Wood Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattellidae,Parcoblatta
Ty Allen,research,Trichocorixa,,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,Trichocorixa
Ty Allen,research,Melanoplus keeleri,Keeler's Spur-throat Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus
Ty Allen,research,Ischyropalpus subtilissimus,,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Ischyropalpus
Rick Travis,needs_id,Chrysoperla carnea,carnea-group Green Lacewings,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla
Rick Travis,needs_id,Conocephalus fasciatus,Slender Meadow Katydid,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus
Ty Allen,needs_id,Eratoneura lunata,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eratoneura
,needs_id,Lycosidae,Wolf Spiders,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,
Sebastian,needs_id,Melipotis indomita,Indomitable Graphic Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis
Ty Allen,needs_id,Erythroneura vitis,Grapevine Leafhopper,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Erythroneura
Rick Travis,research,Euchromius ocellea,Belted Grass-veneer,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Euchromius
Rick Travis,needs_id,Fissicrambus haytiellus,Carpet-grass Webworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Fissicrambus
Ty Allen,research,Phobetron pithecium,Hag Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Phobetron
Sheryl Joiner,research,Quercus shumardii,Shumard's oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
Sheryl Joiner,research,Stillingia texana,Texas Stillingia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Stillingia
Rick Travis,research,Tripudia quadrifera,Harp-winged Tripudia Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tripudia
Ty Allen,research,Hyphantria cunea,Fall Webworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hyphantria
,needs_id,Chrysodeixis includens,Soybean Looper Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chrysodeixis
,needs_id,Gryllus,,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus
,needs_id,Chloridea virescens,Tobacco Budworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chloridea
Ty Allen,needs_id,Pseudatomoscelis seriatus,Cotton Fleahopper,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Pseudatomoscelis
Ty Allen,research,Labarrus cincticulus,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Labarrus
Carolyn Lewis,needs_id,Quercus fusiformis,Texas live oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
Sheryl Joiner,research,Cephalanthus occidentalis,buttonbush,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cephalanthus
Sheryl Joiner,research,Cyperus squarrosus,Bearded Flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus
,needs_id,Hogna,Burrow-living Wolf Spiders,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Hogna
Rick Travis,research,Lamprosema victoriae,Victorian Lamplighter Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Lamprosema
Rick Travis,needs_id,Dipropus simplex,,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Dipropus
"",research,Pluchea odorata,marsh fleabane,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pluchea
Rick Travis,needs_id,Sciota uvinella,Sweetgum Leafroller Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Sciota
Rick Travis,research,Manduca sexta,Carolina Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca
Mighty Pistachio,needs_id,Acanthocephala declivis,Giant leaf-footed bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala
Mighty Pistachio,needs_id,Acanthocephala declivis,Giant leaf-footed bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala
Rick Travis,needs_id,Crambidae,Crambid Snout Moths,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,
Susie Dozzler,research,Cardiospermum halicacabum,Lesser Balloon Vine,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Cardiospermum
Rick Travis,research,Plusiodonta compressipalpis,Moonseed Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta
Susie Dozzler,research,Quercus macrocarpa,bur oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
Rick Travis,needs_id,Pococera asperatella,Maple Webworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pococera
Rick Travis,research,Chrysopa quadripunctata,Four-spotted Green Lacewing,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysopa
Susie Dozzler,research,Stenaria nigricans,diamond-flowers,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Stenaria
Susie Dozzler,research,Helianthus annuus,Common Sunflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus
Susie Dozzler,needs_id,Dianthidium,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Dianthidium
Bridget McCall,research,Darapsa myron,Virginia Creeper Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa
Susie Dozzler,research,Neotibicen pruinosus,Scissor Grinder,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen
Bridget McCall,needs_id,Leptostales ferruminaria,Light-ribboned Wave,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Leptostales
Bridget McCall,research,Mangora gibberosa,lined orbweaver,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora
Bridget McCall,needs_id,Melipotis indomita,Indomitable Graphic Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis
Gabriel Diaz,needs_id,Bignonieae,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,
Meri Kuusi-Shields,research,Grindelia ciliata,Spanish Gold,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia
Meri Kuusi-Shields,research,Rubus trivialis,southern dewberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus
Bridget McCall,research,Ischnura ramburii,Rambur's Forktail,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura
Bridget McCall,needs_id,Argia,Dancers,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Meri Kuusi-Shields,needs_id,Trepocarpus aethusae,Whitenymph,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Trepocarpus
Bridget McCall,research,Knulliana cincta,Banded Hickory Borer,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Knulliana
Bridget McCall,research,Euclea incisa,Green Oak-Slug Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Euclea
,needs_id,Ponometia candefacta,Olive-shaded Bird-dropping Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ponometia
Bridget McCall,research,Acrolophus piger,Piger Grass Tubeworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus
Bridget McCall,research,Hypena scabra,Green Cloverworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena
Bridget McCall,research,Apoda y-inversa,Yellow-collared Slug Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Apoda
"",needs_id,Lochmaeus,,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Lochmaeus
Joshua Ebright,needs_id,Corticarina,,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina
Joshua Ebright,needs_id,Tacoma feriella,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Tacoma
Joshua Ebright,needs_id,Bradycellus,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bradycellus
Joshua Ebright,needs_id,Paria,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Paria
Joshua Ebright,needs_id,Deltocephalinae,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,
,needs_id,Steatoda triangulosa,Triangulate Combfoot,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda
Joshua Ebright,research,Macalla zelleri,Zeller's Macalla Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Macalla
Joshua Ebright,research,Sobara palliolata,Pale-sided leafhopper,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Sobara
Joshua Ebright,needs_id,Euschistus servus,Brown Stink Bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Euschistus
Joshua Ebright,research,Scythris trivinctella,Banded Scythris Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Scythrididae,Scythris
Joshua Ebright,needs_id,Stenolophini,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,
Joshua Ebright,needs_id,Carpelimus,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus
Joshua Ebright,research,Pseudocanthon perplexus,Four-toothed dung beetle,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Pseudocanthon
Joshua Ebright,needs_id,Eutettix pictus,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eutettix
Joshua Ebright,research,Eulimnichus ater,,Animalia,Arthropoda,Insecta,Coleoptera,Limnichidae,Eulimnichus
Joshua Ebright,needs_id,Acrolophus plumifrontella,Eastern Grass Tubeworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus
Joshua Ebright,research,Darapsa myron,Virginia Creeper Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa
Joshua Ebright,research,Bembidion rapidum,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion
Joshua Ebright,research,Euclea incisa,Green Oak-Slug Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Euclea
Joshua Ebright,needs_id,Heterocerus fenestratus,,Animalia,Arthropoda,Insecta,Coleoptera,Heteroceridae,Heterocerus
Joshua Ebright,needs_id,Anthicus cervinus,Cloudy Flower Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus
Joshua Ebright,research,Ptochiomera nodosa,,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Ptochiomera
Joshua Ebright,needs_id,Heterocerus fenestratus,,Animalia,Arthropoda,Insecta,Coleoptera,Heteroceridae,Heterocerus
Joshua Ebright,research,Eulimnichus ater,,Animalia,Arthropoda,Insecta,Coleoptera,Limnichidae,Eulimnichus
Joshua Ebright,research,Enochrus,,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus
Joshua Ebright,needs_id,Heteroceridae,Variegated Mud-loving Beetles,Animalia,Arthropoda,Insecta,Coleoptera,Heteroceridae,
Joshua Ebright,research,Typhaea stercorea,Hairy Fungus Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Mycetophagidae,Typhaea
Joshua Ebright,needs_id,Paria,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Paria
Joshua Ebright,needs_id,Ataenius,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ataenius
Joshua Ebright,research,Plusiodonta compressipalpis,Moonseed Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta
Joshua Ebright,needs_id,Paria,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Paria
Joshua Ebright,research,Scirtes orbiculatus,,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,Scirtes
Joshua Ebright,research,Berosus,,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus
Joshua Ebright,needs_id,Ataenius,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ataenius
Joshua Ebright,research,Plusiodonta compressipalpis,Moonseed Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta
Joshua Ebright,needs_id,Paria,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Paria
Joshua Ebright,research,Bembidion impotens,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion
Joshua Ebright,research,Omosita nearctica,,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Omosita
Joshua Ebright,needs_id,Anthicus cervinus,Cloudy Flower Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus
Joshua Ebright,research,Scirtes,,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,Scirtes
Joshua Ebright,needs_id,Petrophila,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Petrophila
Joshua Ebright,research,Omosita nearctica,,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Omosita
Joshua Ebright,research,Lochmaeus bilineata,Double-lined Prominent,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Lochmaeus
Joshua Ebright,research,Plusiodonta compressipalpis,Moonseed Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta
Joshua Ebright,needs_id,Corticarina,,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina
Joshua Ebright,research,Eulimnichus ater,,Animalia,Arthropoda,Insecta,Coleoptera,Limnichidae,Eulimnichus
Joshua Ebright,needs_id,Apocellus,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Apocellus
Joshua Ebright,research,Acanthoscelides compressicornis,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides
Joshua Ebright,research,Cuerna costalis,Lateral-lined Sharpshooter,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cuerna
Joshua Ebright,needs_id,Tropicus pusillus,,Animalia,Arthropoda,Insecta,Coleoptera,Heteroceridae,Tropicus
Joshua Ebright,needs_id,Blapstinus fortis,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Blapstinus
Joshua Ebright,research,Vacusus vicinus,,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Vacusus
Joshua Ebright,research,Lochmaeus bilineata,Double-lined Prominent,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Lochmaeus
Joshua Ebright,research,Cuerna costalis,Lateral-lined Sharpshooter,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cuerna
Joshua Ebright,needs_id,Blapstinus fortis,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Blapstinus
Joshua Ebright,research,Colopterus maculatus,,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Colopterus
Joshua Ebright,research,Anthicus cervinus,Cloudy Flower Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus
Joshua Ebright,research,Tempyra biguttula,,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Tempyra
Joshua Ebright,needs_id,Bruchomorpha nodosa,,Animalia,Arthropoda,Insecta,Hemiptera,Caliscelidae,Bruchomorpha
Joshua Ebright,needs_id,Tornos scolopacinaria,Dimorphic Gray,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Tornos
Teddi R. Zonker,needs_id,Gryllidae,True Crickets,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,
cesar stastny,research,Paonias excaecata,Blinded Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias
,research,Monarda citriodora,lemon beebalm,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda
,research,Ambrosia trifida,giant ragweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia
,research,Monarda citriodora,lemon beebalm,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda
,research,Leptoglossus phyllopus,Eastern Leaf-footed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus
Sarah Paroski,research,Bromus japonicus,Japanese brome,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus
,research,Carya illinoinensis,pecan,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya
Sarah Paroski,needs_id,Bothriochloa,Bluestems,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bothriochloa
,research,Triadica sebifera,Chinese Tallow,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica
Sarah Paroski,research,Nassella leucotricha,Texas winter grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella
Sarah Paroski,needs_id,Astereae,asters and allies,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,
Sarah Paroski,research,Euphorbia bicolor,snow-on-the-prairie,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
Mallory Hall,research,Erythemis simplicicollis,Eastern Pondhawk,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis
Sarah Paroski,research,Sorghum halepense,Johnson grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sorghum
Sarah Paroski,research,Polytaenia texana,Texas Prairie Parsley,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Polytaenia
Sarah Paroski,research,Gaillardia pulchella,Indian blanket,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gaillardia
Sarah Paroski,needs_id,Plantae,plants,Plantae,,,,,
Sarah Paroski,research,Sideroxylon lanuginosum,Gum bumelia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Sideroxylon
Sarah Paroski,needs_id,Plantae,plants,Plantae,,,,,
,research,Evania appendigaster,Blue-eyed Ensign Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Evaniidae,Evania
Sarah Paroski,needs_id,Plantae,plants,Plantae,,,,,
Sarah Paroski,research,Mimosa nuttallii,Catclaw Briar,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa
Sarah Paroski,needs_id,Poaceae,grasses,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,
Sarah Paroski,research,Nassella leucotricha,Texas winter grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella
Sarah Paroski,research,Desmanthus leptolobus,Prairie Bundleflower,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmanthus
Sarah Paroski,research,Polytaenia texana,Texas Prairie Parsley,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Polytaenia
Northcut,research,Pasimachus californicus,California Warrior Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pasimachus
Sarah Paroski,needs_id,Plantae,plants,Plantae,,,,,
Sarah Paroski,research,Brickellia eupatorioides,False Boneset,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia
Jean Suplick,needs_id,Fraxinus pennsylvanica,green ash,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus
Sarah Paroski,research,Nassella leucotricha,Texas winter grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella
Jean Suplick,research,Styphnolobium affine,Eve's Necklacepod,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Styphnolobium
Northcut,research,Vernonia baldwinii,Western Ironweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonia
Sarah Paroski,research,Nassella leucotricha,Texas winter grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella
Sarah Paroski,needs_id,Asteroideae,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,
Jean Suplick,research,Cercis canadensis,eastern redbud,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cercis
Jean Suplick,research,Cornus drummondii,roughleaf dogwood,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus
Jean Suplick,needs_id,Juniperus,junipers,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus
Jean Suplick,research,Smilax bona-nox,saw greenbrier,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax
Jean Suplick,research,Helianthus annuus,Common Sunflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus
Jean Suplick,research,Solanum rostratum,buffalo-bur,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum
,needs_id,Obrium maculatum,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Obrium
Jean Suplick,research,Croton monanthogynus,Prairie Tea,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton
Sarah Paroski,research,Sorghum halepense,Johnson grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sorghum
Jean Suplick,needs_id,Bidens,Beggarticks,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens
Jean Suplick,research,Eryngium leavenworthii,Leavenworth's eryngo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium
Jean Suplick,needs_id,Asteroideae,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,
Jean Suplick,needs_id,Solidago altissima,tall goldenrod,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago
Jean Suplick,research,Monarda citriodora,lemon beebalm,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda
Jean Suplick,research,Diospyros virginiana,common persimmon,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros
Sarah Paroski,research,Plectocephalus americanus,American basketflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Plectocephalus
Jean Suplick,research,Erigeron canadensis,horseweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron
Sarah Paroski,research,Sideroxylon lanuginosum,Gum bumelia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Sideroxylon
Jean Suplick,research,Gleditsia triacanthos,honey locust,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia
Sarah Paroski,research,Brickellia eupatorioides,False Boneset,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia
Julia Ecklar,research,Eryngium leavenworthii,Leavenworth's eryngo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium
Jean Suplick,research,Zanthoxylum clava-herculis,Hercules' club,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum
Sarah Paroski,research,Helianthus annuus,Common Sunflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus
Sarah Paroski,needs_id,Brickellia eupatorioides,False Boneset,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia
Julia Ecklar,needs_id,Solanum dimidiatum,western horsenettle,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum
Sarah Paroski,research,Bothriochloa torreyana,silver bluestem,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bothriochloa
,research,Plectocephalus americanus,American basketflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Plectocephalus
Jean Suplick,needs_id,Ilex decidua,possumhaw,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex
Sarah Paroski,research,Bromus japonicus,Japanese brome,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus
